"time","add.y","airHeaterTextWithIO.T_Out_ext"
246,25.01375299623419,25.13596818224451
246.5,25.11559426834879,25.11402637992446
247,25.08873980253436,25.09815094789402
247.5,25.1780170715226,25.08310069223856
248,25.08803075136882,25.06318486984167
248.5,25.06958533237554,25.05560404022185
249,24.94647439721186,25.0629749923228
249.5,25.08315907050157,25.06552318683813
250,25.07259664338617,25.06320075728125
250.5,24.96347485378107,25.05651434473234
251,25.14896348545238,25.04967532968591
251.5,25.08132944075517,25.04841141347162
252,25.00537435891341,25.05407045559604
252.5,24.96856632589642,25.05747055881368
253,24.97836107425125,25.05322679280956
253.5,24.96555149725933,25.05553150763562
254,25.14872583874745,25.05247427467384
254.5,25.02817222297752,25.04206958923016
255,25.02927358579466,25.03954687904701
255.5,24.9706317809744,25.04290342622725
256,24.99192266109332,25.04699712625644
256.5,25.03197153427258,25.05036275104555
257,24.94156694616586,25.0425870273451
257.5,24.90862224177341,25.03036439088685
258,24.98315711066777,25.02433039476458
258.5,25.06503581839076,25.02165757198431
259,24.96700394353674,25.02269640851675
259.5,24.97285783843289,25.02187437946502
260,25.07892645645649,25.02456917626606
260.5,25.12274638740201,25.03389556187633
261,24.94370531619571,25.04001028766091
261.5,25.02019538524744,25.03632060269182
262,25.15603051375105,25.03334992047123
262.5,24.96439308922912,25.03542873484819
263,25.09478613497808,25.030594265109
263.5,25.06642962527348,25.01674167703287
264,24.97097727260349,25.01060937197176
264.5,24.90652733311814,25.00979052474386
265,25.00473996019052,24.99580185172773
265.5,24.90210176287436,24.98510066420802
266,25.0122419193545,24.97803448504559
266.5,25.02749891055715,24.9652449660398
267,24.92248967073,24.96001599294442
267.5,24.88118042802778,24.96430140339935
268,24.95422953015528,24.96650941540569
268.5,25.00052321115675,24.96909296121015
269,24.95066510286758,24.97119261530387
269.5,24.91477687786633,24.96625015891128
270,25.00082722510736,24.96709282769534
270.5,25.08123580054416,24.97693497959625
271,25.03019175115113,24.98516550523298
271.5,24.99239075207252,24.98692412406264
272,24.87489968735452,24.98946235711373
272.5,24.89166820747877,24.99740339837205
273,24.97910980794963,25.00224665294612
273.5,25.08716448729928,24.99712343990404
274,25.05098096274489,24.99047420289504
274.5,24.99775751982303,24.98933822602134
275,24.91850227314618,24.99755665713007
275.5,25.07546488517891,25.01161634854143
276,25.09591897646682,25.01942814727891
276.5,24.97523212219702,25.01596288790642
277,24.90083188488784,25.00842107523178
277.5,25.04734820067992,25.00585447223362
278,25.02260120820178,25.01055021177245
278.5,25.11829551214333,25.00985180353406
279,24.90473564214466,24.99800402191699
279.5,24.98326470426669,24.99124147968098
280,24.98984948554785,24.99481255815138
280.5,25.1106305732315,24.99349671904894
281,25.07518474908894,24.98695192338015
281.5,25.02201685485194,24.97857757142654
282,24.99021946605438,24.97767254384606
282.5,24.99704787576625,24.98371510193892
283,24.98629749738509,24.98347072044488
283.5,25.00405933977452,24.97509345946811
284,24.93042358722304,24.9623802814581
284.5,25.01164469257327,24.95589882020168
285,24.97480004796469,24.95514231304846
285.5,24.99489176992296,24.95625152211267
286,25.06812482857476,24.95800260194431
286.5,24.95807901619954,24.95963164536914
287,24.99757345440813,24.96485379743617
287.5,24.89278064769241,24.96974451377719
288,25.01293393749631,24.97230235694271
288.5,24.87995489455788,24.9760080883199
289,24.89173993419275,24.97463965037061
289.5,25.07879581274141,24.97592173211151
290,25.09622402693024,24.98167661642577
290.5,25.01820821608009,24.99172196466861
291,24.96313417175749,25.00085123465614
291.5,25.00964880401991,25.01107172952423
292,25.1260019366862,25.02834652117669
292.5,25.08287814038388,25.03389974748859
293,25.07461412543923,25.02763469491462
293.5,25.01594251043331,25.02517817436348
294,25.13567146252885,25.03042456778719
294.5,25.09186266165314,25.03636856698473
295,25.00302350727666,25.03278286882944
295.5,25.128463106327,25.02461243339387
296,25.03216343519625,25.01896799466156
296.5,24.93127434115905,25.01679864915185
297,24.92054558338484,25.01060951966219
297.5,25.00245093732042,24.99970808628127
298,24.88787293108122,24.99630138043576
298.5,25.04327061644898,24.99011881738285
299,25.01925739834885,24.98183026129022
299.5,24.97198417900853,24.98464554562738
300,25.0639182385543,24.99330222244053
300.5,24.88689802338515,24.99662350939241
301,25.09685008369723,25.0006290381331
301.5,25.0397282816252,25.00125588561702
302,25.03525190647719,24.9940252149888
302.5,25.06007144727613,24.99096609738141
303,24.92474129301155,24.98512597882349
303.5,24.89252155380534,24.98444711916073
304,24.93628307408489,24.98140087553146
304.5,24.94859866040504,24.96930928389819
305,24.86048058747644,24.96053170597981
305.5,24.83491112348063,24.95003075603778
306,24.9643411027393,24.94575151565473
306.5,24.93002520575205,24.95101812545785
307,24.93770940099943,24.95508587733233
307.5,24.89216402740204,24.95527249018471
308,24.87886829368319,24.95916630692823
308.5,24.89026946561393,24.96872110903567
309,25.03200785178162,24.97143242528546
309.5,25.05006434846181,24.96852270595563
310,24.97242874113484,24.96707655753549
310.5,25.01045008658848,24.96775087701788
311,25.01928373929956,24.97152608678331
311.5,25.04495056581352,24.97494491988926
312,25.05713939910642,24.96873872159551
312.5,24.91730686608843,24.95299444810692
313,24.91302360644885,24.94115785737204
313.5,24.94294093543012,24.93200386459666
314,24.88373680599935,24.92053068398635
314.5,24.90926977200886,24.90754166140978
315,24.82103635092066,24.89297992219664
315.5,24.82386927054392,24.88662677046762
316,24.88221614003537,24.88913239724537
316.5,25.00939060757927,24.89042564282814
317,24.98598307334337,24.89373706363848
317.5,24.92517576570345,24.89898706975936
318,24.95226131615212,24.90804381073508
318.5,24.95340088299016,24.92223767000149
319,24.93916083037673,24.93337375801735
319.5,24.98271925899503,24.93435123628926
320,24.88670816234043,24.93028477905847
320.5,24.89085439982762,24.93201242466969
321,24.96447180981448,24.93629178112708
321.5,25.05909398606276,24.93955679925897
322,24.93918410875312,24.94434555166825
322.5,24.96916153476017,24.94818387430911
323,24.85029076870446,24.95651425574936
323.5,25.05731123673931,24.97261092850237
324,25.01414016400349,24.98779124588465
324.5,25.08606591675401,24.9985502760179
325,24.90526367987614,25.01727042446673
325.5,24.97265741898494,25.04462387914303
326,24.99040606784452,25.07735711615533
326.5,25.03306954371866,25.10478422617357
327,25.20816575152319,25.1228855916062
327.5,25.05789009178311,25.13944699354403
328,25.19605763272537,25.16291071662076
328.5,25.27148207603304,25.19286258080918
329,25.20741177441476,25.21705943822285
329.5,25.35464958420881,25.23615002672719
330,25.18675825514204,25.24113079458721
330.5,25.33296552859886,25.24425966599319
331,25.33691565918683,25.24744683384426
331.5,25.34573268812743,25.23763231274977
332,25.32373174768926,25.22704529485562
332.5,25.32554842073732,25.21124515830865
333,25.14740947847065,25.19677698236176
333.5,25.10350685741206,25.183286055996
334,25.26082488889254,25.16139939983342
334.5,25.094727181607,25.13985261268095
335,25.00462433523838,25.11943115307339
335.5,25.03466765420754,25.09954619053983
336,25.15408208512365,25.08944006723981
336.5,25.17729479654662,25.09141952569485
337,25.00904607811034,25.08539194437824
337.5,24.9745744415453,25.07940170678167
338,25.18223416028114,25.08793578081399
338.5,25.03906683760491,25.09909293093051
339,25.20580166330616,25.10057002781923
339.5,25.15611711533454,25.09294761553291
340,25.02701367824772,25.09324265862432
340.5,24.98604854284018,25.10476172988812
341,25.08839900092928,25.10537110701162
341.5,24.97955760465502,25.10202456836851
342,25.19075442959359,25.09675360559383
342.5,25.17493445517504,25.08432881535449
343,25.19216965947801,25.0820626921023
343.5,25.08456434098339,25.08899333967109
344,25.10834321508017,25.09134059048835
344.5,25.04753191407469,25.09353475229607
345,25.08417828778322,25.08868358274462
345.5,25.16360803316114,25.07161380115943
346,25.04922367253837,25.05362978234396
346.5,25.10143062649628,25.03990912620636
347,25.01617652476617,25.0292117431261
347.5,25.1320266346548,25.01956211242207
348,25.03968652709995,25.01061383201038
348.5,25.0989808362011,24.99439008941317
349,24.92395460614001,24.97993699696004
349.5,25.05549259668965,24.96873228906308
350,24.93995057198775,24.95912764037973
350.5,24.92579144873539,24.94728792384755
351,24.8596144083232,24.93377820116356
351.5,24.86093629890363,24.92179402161245
352,24.90130870473299,24.91645732987414
352.5,24.95331916215364,24.91339713694535
353,24.78526886315917,24.90949064116753
353.5,24.90349131062981,24.91313897443791
354,24.81610351890441,24.92137330252818
354.5,24.98487048110504,24.93347349633378
355,24.8971166154201,24.94346278687308
355.5,24.96749519646214,24.94839442434385
356,24.94888203352541,24.96058206709577
356.5,25.0409146196314,24.97571563894962
357,25.09542881573297,24.98924347682492
357.5,24.94212085833535,24.99793539735326
358,25.12507120317775,25.00223038772318
358.5,25.00332206269125,25.00794943169054
