"time","T_Out_ext","T_amb_ext","u_ext"
354,33.9905,20,4
354.5,33.9907,20,4
355,33.9909,20,4
355.5,33.9911,20,4
356,33.9913,20,4
356.5,33.9915,20,4
357,33.9917,20,4
357.5,33.9919,20,4
358,33.9921,20,4
358.5,33.9922,20,4
359,33.9924,20,4
359.5,33.9926,20,4
360,33.9927,20,4
360.5,33.9929,20,4
361,33.993,20,4
361.5,33.9932,20,4
362,33.9933,20,4
362.5,33.9935,20,4
363,33.9936,20,4
363.5,33.9938,20,4
364,33.9939,20,4
364.5,33.994,20,4
365,33.9942,20,4
365.5,33.9943,20,4
366,33.9944,20,4
366.5,33.9945,20,4
367,33.9946,20,4
367.5,33.9948,20,4
368,33.9949,20,4
368.5,33.995,20,4
369,33.9951,20,4
369.5,33.9952,20,4
370,33.9953,20,4
370.5,33.9954,20,4
371,33.9955,20,4
371.5,33.9956,20,4
372,33.9957,20,4
372.5,33.9958,20,4
373,33.9959,20,4
373.5,33.996,20,4
374,33.9961,20,4
374.5,33.9962,20,4
375,33.9962,20,4
375.5,33.9963,20,4
376,33.9964,20,4
376.5,33.9965,20,4
377,33.9966,20,4
377.5,33.9966,20,4
378,33.9967,20,4
378.5,33.9968,20,4
379,33.9968,20,4
379.5,33.9969,20,4
380,33.997,20,4
380.5,33.997,20,4
381,33.9971,20,4
381.5,33.9972,20,4
382,33.9972,20,4
382.5,33.9973,20,4
383,33.9974,20,4
383.5,33.9974,20,4
384,33.9975,20,4
384.5,33.9975,20,4
385,33.9976,20,4
385.5,33.9976,20,4
386,33.9977,20,4
386.5,33.9977,20,4
387,33.9978,20,4
387.5,33.9978,20,4
388,33.9979,20,4
388.5,33.9979,20,4
389,33.998,20,4
389.5,33.998,20,4
390,33.9981,20,4
390.5,33.9981,20,4
391,33.9981,20,4
391.5,33.9982,20,4
392,33.9982,20,4
392.5,33.9983,20,4
393,33.9983,20,4
393.5,33.9983,20,4
394,33.9984,20,4
394.5,33.9984,20,4
395,33.9984,20,4
395.5,33.9985,20,4
396,33.9985,20,4
396.5,33.9985,20,4
397,33.9986,20,4
397.5,33.9986,20,4
398,33.9986,20,4
398.5,33.9987,20,4
399,33.9987,20,4
399.5,33.9987,20,4
400,33.9987,20,4
400.5,33.9988,20,1
401,33.9988,20,1
401.5,33.9988,20,1
402,33.9989,20,1
402.5,33.9989,20,1
403,33.9989,20,1
403.5,33.9989,20,1
404,33.7707,20,1
404.5,33.5474,20,1
405,33.329,20,1
405.5,33.1153,20,1
406,32.9063,20,1
406.5,32.7018,20,1
407,32.5018,20,1
407.5,32.3061,20,1
408,32.1146,20,1
408.5,31.9274,20,1
409,31.7442,20,1
409.5,31.5649,20,1
410,31.3896,20,1
410.5,31.2181,20,1
411,31.0503,20,1
411.5,30.8862,20,1
